
01 createUDB       06 uvSort          11 uhex$           D = Defined in
02 unpack          07 usymTabVal      12 uDRPN           U = Used in
03 udecode         08 ubuildSrc       13 ureadInitDB     P = Received as a parameter
04 ulSort          09 udsSort         14 ureadLins
05 udefVars        10 uinstruction    15 ureadVars

unpack total variables: 189 (not including record variables and fields)
      passed as parameters: 27
      unique variables: 117 (so far)

  Variable Name  | 01 | 02 | 03 | 04 | 05 | 06 | 07 | 08 | 09 | 10 | 11 | 12 | 13 | 14 | 15 | Description and Notes
================ | == | == | == | == | == | == | == | == | == | == | == | == | == | == | == | =========================================================
common variables | 65 Variables  21 Parameters                                              | 
061 lnFile       |    |    | DU |    |    |    |    |    |    | DU |    |    |    | DU |    | STRING line reference file (29 characters)
062 dFile        |    |    | DU |    | DU |    |    | DU |    | DU |    |    |    |    | DU | STRING data file path (29 characters)
063 subName      |    |    |    |    | DU |    | DU |    |    |    |    |    |    |    |    | STRING variable name string (29 characters)
064 tName        |    |    |    |    | DU |    |    | DU |    |    |    |    |    |    |    | STRING temp variable name string (29 characters)
065 source       |    |    |    |    |    |    |    | DU |    | DU |    |    |    |    |    | STRING sourcce statement string (512 characters)
================ | == | == | == | == | == | == | == | == | == | == | == | == | == | == | == | =========================================================
  Variable Name  | 01 | 02 | 03 | 04 | 05 | 06 | 07 | 08 | 09 | 10 | 11 | 12 | 13 | 14 | 15 | Description and Notes
================ | == | == | == | == | == | == | == | == | == | == | == | == | == | == | == | =========================================================
createUDB        | 13 Variables (11 Common)  02 Unique  00 Parameter Variables              | 
066 loopCnt      | DU |    |    |    |    |    |    |    |    |    |    |    |    |    |    | INTEGER generic loop counter
067 tVers        | DU |    |    |    |    |    |    |    |    |    |    |    |    |    |    | STRING stored version number (8 characters)
================ | == | == | == | == | == | == | == | == | == | == | == | == | == | == | == | =========================================================
  Variable Name  | 01 | 02 | 03 | 04 | 05 | 06 | 07 | 08 | 09 | 10 | 11 | 12 | 13 | 14 | 15 | Description and Notes
================ | == | == | == | == | == | == | == | == | == | == | == | == | == | == | == | =========================================================
unpack           | 35 Variables  17 Unique  02 Parameter Variables                          | 
068 callCode     |    | DU |    |    |    |    |    |    |    |    |    |    |    |    |    | BYTE system call code (for SysCall)
069 char         |    | DU |    |    |    |    |    |    |    |    |    |    |    |    |    | BYTE current character of module name
070 packet(32)   |    | DU |    |    |    |    |    |    |    |    |    |    |    |    |    | BYTE terminal settings packet
071 modSiz       |    | DU |    |    |    |    |    |    |    |    |    |    |    |    |    | INTEGER module size
072 counter      |    | DU |    |    |    |    |    |    |    |    |    |    |    |    |    | INTEGER counter variable
073 fileSize     |    | DU |    |    |    |    |    |    |    |    |    |    |    |    |    | REAL file size
074 start        |    | DU |    |    |    |    |    |    |    |    |    |    |    |    |    | REAL file start offset
075 pointer      |    | DU |    |    |    |    |    |    |    |    |    |    |    |    |    | REAL file pointer
